가라,편법,편법의 잘못된 용어
카이통신,유언비어,육군3사관학교에서 사용하는 은어로 유언비어를 의미
개구리군복,구형전투복,디지털 군복이 나오기전 얼룩무늬 군복을 의미함
악기바리,식고문,음식을 억지로 먹이는 식고문의 은어
하이바,방탄모,헬멧의 일본어발음 군에서는 방탄모의 은어로 사용한다
연병장,운동장,군인들이 점호 체력단련 집합 등을 하는곳
가라,편법,편법을 의미함
땡보,편한보직,편한 보직의 잘못된 용어
A급,모범장병,본인 할일을 잘 수행하는 것은 물론 남을 도와주고 모범이 되는 장병
구보,뜀걸음,뜀걸음의 은어
기도비닉,은폐,전투중 적 공격으로 부터 피하기 위한 행동
당직,당직근무,밤 중에 부대 관리 및 지휘체계 보존/ 상황 경계를 의미
동원훈련,병력동원소집훈련,대학 또는 특수직장에 종사하지 않을때 받는 3일짜리 훈련
두돈반,K-511,2½톤 군차량 K-511계열이며 두톤반에서 변형
사오톤,K-311,1¼톤 군차량 K-311 계열이며 미국 닷지사 제조 차량에서 비롯됨
말년,전역대기자,전역이 임박한 군인
비문,비밀문건,비밀문건의 준말
비합소,비밀합동보관소,비밀합동보관소의 준말로 각종 비문이 보관되어있음
비취인가,비밀취급인가,비밀취급인가의 준말로 비문을 열람하기 위해 받아야하는 인가증
뺑이,고생,힘든일을 하게 될때 혹은 고생할때 쓰는말
선탑,선입탑승자,선입탑승자의 준말로 군대에서 차량을 운행할 때 선임자가 조수석에 탑승하는 것을 의미
수통,물통,물통을 의미하는 군대용어
수입,정비,(주로 총기를) 깨끗이 닦고 정비하는 것
시건장치,잠금장치,군대 물품들을 보관하고 잠그는 장치를 의미
싸제,외부제품,군용품이 아닌 외부제품을 의미
아쎄이,신병,해병대에서 신병을 일컫는말
야비군,예비군,예비군을 비꼬아 부르는말
일과,일일과업,일일과업의 준말 근무나 자유시간과 대비되는 의미로 사용
짬,식사,군대에서 취사병이 만든요리
짬,떠넘기다,일을 다른 사람에게 떠 넘기는 것
짬찌,신병,군생활이 짧음을 조롱하는말
짬타이거,길고양이,부대 안에서 짬통을 먹고 사는 길고양이를 일컫는말
전세규,전투세부시행규칙,전투세부시행규칙의 준말
정작,정보작전,정보작전의 준말
점프,위수지역이탈,위수지역을 이탈하는 행위
진누,진급누락,징계등의 사유로 진급이 늦어진것을 의미
취사장,병사식당,병사식당을 의미함
편제,직제,군이 운영되기 위해 편성된 직제를 의미
피아식별,구분,적과 아군을 구분함
폐급,폐기처리등급,군 보급품중 더이상 사용이 불가능한 물품
활동복,운동복,군대의 보급 운동복
활동화,운동화,군대의 보급 운동화
행보관,행정보급관,행정보급관의 준말
판초우의,야전 비옷,야전 비옷을 의미 용사에게만 보급됨
간부우의,공병우의,간부/ 공병용 우의/ 간부 및 일부 기행부대에서 용사들에게 지급됨
군대리아,빵식,군대에서 나오는 햄버거
군대스리가,축구,군대+분데스리가의 합성어
관물대,사물함,개인 물품이나 보급품을 보관하는 일종의 개인 사물함
깔깔이,상의 내피,군대 방한복중 한 종류
꼬질대,꽂을대,총기수입시 내부 탄매를 제거하는 청소도구
동미참훈련,동원훈련미지정자참여훈련,동원훈련미지정자참여훈련의 준말
광팬,광케이블 테스트팬,FDF/ 광케이블을 점검할때 사용하는 레이저팬을 의미
전투체육,체육시간,군대 일일 마지막 일과이며 체력증진 목적으로 뜀걸음 탄통들고 뛰기등 활동을 하는시간
체단,체력단련,체력단련을 의미
짧선,(점검용)랜케이블,네트워크 스위치 점검을 할때 사용되어지는 10~20cm정도의 랜케이블을 의미
빵포,방공포,방공포(대공포 혹은 대공미사일)을 의미
상근,상근예비역,상근예비역의 준말
수방사,수도방위사령부,수도방위사령부의 준말
스나프,대걸레,대걸레를 의미하며 해군에서 주로 사용되는 은어
시정하겠습니다,죄송합니다,상급자에게 미안하다는 뜻을 말하는 옛말
사지방,사이버지식정보방,사이버지식정보방의 준말이며 군인공제회에서 운영하는 군PC방
위수지역,관할 지역,해당 군 부대가 담당하는 작전 지역 또는 관할 지역. 육군 병사 입장에서는 외출 또는 외박의 허용 지역으로 간주된다
유도리,융통성,융통성을 의미하는 용어
총기다이,총기보관함,총기를 보관하고 잠금장치 해놓는 거치대
